"method","point","se","ci_lo","ci_hi","n_valid"
"ols_fp",-0.0695788392921447,0.11756879504782,-0.128356664131009,-0.0068727286014869,2000
"pmm_fp_a",-0.188656499608896,0.0535005021149601,-0.296291353629072,-0.0875151253629963,2000
"bfp",-0.00719974929922807,0.00255838563301381,-0.0129288375594013,-0.00310626880134809,1911
