"method","n","p","residual_deviance","R2","AIC"
"ols_fp",686,4,470.173306119438,0.0264898644541928,-249.154517490913
"pmm_fp_a",686,2,476.47121766735,0.0134498201878213,-244.026632723251
"bfp",686,2,475.777486073543,0.0148862155108427,-245.026161429723
