"dgp_id","n","basis","estimator","n_valid","mean_time","sd_time","p","var_coef1","var_coef2","mean_coef1","mean_coef2","bias_coef1","bias_coef2","mse_coef1","mse_coef2","cov_coef1","cov_coef2","var_coef1_ols","var_coef2_ols","g2_emp_coef1","g2_emp_coef2","gamma3_dgp","gamma4_dgp","g2_theoretical"
"Beta25",100,"pos","ols_fp",1000,7.70000000000266e-05,0.000288364620149962,6,1965.11722069512,182.900933688845,1.66873525022331,0.213754837341243,0.668735250223313,-1.78624516265876,1965.56442753001,186.091605469967,0.946,0.939,1965.11722069512,182.900933688845,1,1,0.596284793999944,-0.12,0.810874704491726
"Beta25",100,"pos","mle_fp",1000,5.199999999995e-05,0.000235268679069817,6,1965.11722069512,182.900933688845,1.66873525022331,0.213754837341243,0.668735250223313,-1.78624516265876,1965.56442753001,186.091605469967,0.933,0.931,1965.11722069512,182.900933688845,1,1,0.596284793999944,-0.12,0.810874704491726
"Beta25",100,"pos","pmm_fp",673,0.00586599999999989,0.00237943390446253,6,1741.86819808589,162.274463114127,-0.0923366620151331,-0.362529715771072,-1.09233666201513,-2.36252971577107,1743.06139746907,167.856009772028,0.926,0.923,1965.11722069512,182.900933688845,0.886394042931309,0.887225996288195,0.596284793999944,-0.12,0.810874704491726
"Beta25",100,"pos","huber_fp",1000,0.000522000000000048,0.000752384264908616,6,2020.52062091995,188.094722600694,0.9707927433616,-0.0155731505369269,-0.0292072566384001,-2.01557315053693,2020.52147398379,192.157257725859,0.942,0.942,1965.11722069512,182.900933688845,1.0281934327588,1.0283967326306,0.596284793999944,-0.12,0.810874704491726
"Beta25",100,"pos","gmm_fp",949,0.00124025289778705,0.000887811476990548,6,1593.04267765249,147.483979414747,0.100576579846305,-0.302137245927354,-0.899423420153695,-2.30213724592735,1593.85164014121,152.783815313833,0.447761194029851,0.452025586353945,1965.11722069512,182.900933688845,0.810660382432037,0.806359904458714,0.596284793999944,-0.12,0.810874704491726
"Beta25",1000,"pos","ols_fp",1000,0.000131000000000285,0.000360512092681292,6,149.567427174604,13.6908563379565,1.24039589506241,0.0700278679763018,0.240395895062414,-1.9299721320237,149.625217360967,17.4156487683446,0.948,0.908,149.567427174604,13.6908563379565,1,1,0.596284793999944,-0.12,0.810874704491726
"Beta25",1000,"pos","mle_fp",1000,0.000130000000000052,0.000339433668358528,6,149.567427174604,13.6908563379565,1.24039589506241,0.0700278679763018,0.240395895062414,-1.9299721320237,149.625217360967,17.4156487683446,0.948,0.905,149.567427174604,13.6908563379565,1,1,0.596284793999944,-0.12,0.810874704491726
"Beta25",1000,"pos","pmm_fp",1000,0.00769300000000001,0.00165271972290615,6,118.323839986504,10.8407166236184,1.11571490861057,0.0289588712272971,0.115714908610569,-1.9710411287727,118.337229926579,14.725719754932,0.948,0.907,149.567427174604,13.6908563379565,0.79110700920444,0.791821662284453,0.596284793999944,-0.12,0.810874704491726
"Beta25",1000,"pos","huber_fp",1000,0.00108099999999993,0.00100171974246388,6,152.547786689527,13.9640257433807,1.1901112795625,0.055122389375873,0.190111279562505,-1.94487761062413,152.583928988144,17.7465746636877,0.944,0.905,149.567427174604,13.6908563379565,1.0199265279294,1.01995268949444,0.596284793999944,-0.12,0.810874704491726
"Beta25",1000,"pos","gmm_fp",1000,0.00286299999999977,0.00120568846916825,6,118.323841580827,10.8407167682711,1.11571494183389,0.0289588811756455,0.115714941833894,-1.97104111882435,118.337231528591,14.7257198603674,0.451,0.446,149.567427174604,13.6908563379565,0.791107019864,0.791821672850094,0.596284793999944,-0.12,0.810874704491726
