"b","g2_FormB_pos","g2_FormB_full"
1,0.707913566691609,0.00117991353055831
2,0.184279511473766,0.000165815319289288
3,1.13879881188967,0.000817605820522686
4,0.0136144841353276,4.41854413251953e-05
5,0.563512034572225,0.0014516797569988
6,2.81547746572489,0.00125109858453969
7,0.643824160465289,0.00160034633161761
8,0.633873177487512,0.000305760181460981
9,0.0632972050718165,0.000175142141197196
10,31.2247487822515,7.38579619195936e-05
11,0.38611427486391,0.000549786786709499
12,0.647703691050408,0.00181071118467818
13,0.0637814753980972,7.4631152668525e-05
14,0.0185605946096265,0.000109260122067233
15,29.3588043231555,0.000848344700942267
16,2.00845078323082,0.000940128757033932
17,28.6206750210483,0.000816131597781709
18,0.564650671070282,0.00261913429636325
19,0.505138956357306,0.000537113880925704
20,49.7837089874099,5.80255213123913e-05
21,0.586772082766516,0.00119003122017229
22,0.20229632376411,0.000377541905089374
23,0.123242745636322,0.000384081884544268
24,0.58546148184374,0.00137288609667698
25,0.118359762521315,3.59439975637944e-05
26,0.565087625815806,0.00109381643583167
27,0.273632710877052,0.000633940051587514
28,0.681308616231268,0.00154263251373787
29,0.607223604963398,0.00371850566286623
30,28.6485555445587,0.00161530514431533
31,0.656268020968159,0.00140451940668436
32,0.584933457708679,0.00399901829363903
33,0.074980488137382,0.000575286397268552
34,0.696311976164566,0.0016684667504496
35,0.718920186288588,0.00168233234943243
36,31.7335529518358,0.000154616209564734
37,31.471874424403,2.02330543360776e-05
38,0.18946368970051,0.00050518236351744
39,0.757961657225331,0.00190115912516854
40,0.358974265512054,0.000812437615469098
41,0.668426071079038,0.00105150684441809
42,0.705225676096906,0.000828528552114698
43,0.541730983451576,0.00363066042682315
44,1.40675331220581,0.00769081281637601
45,0.197682399610266,0.000209190028635361
46,30.7635650609959,0.000991843546880065
47,0.599870572916996,0.0013058356379985
48,0.0188422473611552,1.79131852885775e-05
49,0.000735095566187748,5.62005355591551e-06
50,0.247428312284362,0.000808493756287933
51,31.0082302418016,3.08806278544707e-05
52,0.649648594656011,0.000365542605758963
53,0.00247246798108843,2.12697879368653e-06
54,0.190758580739966,0.00115335683654276
55,0.34007655350902,0.00138693274224066
56,28.2643348611186,4.55436017426625e-05
57,0.429603263819202,0.000797954111008083
58,0.516964488752403,0.00099603999592274
59,0.599446676210393,0.000718478175148202
60,33.2228855354523,0.00350970286740775
61,0.055943703644909,5.551954397054e-05
62,40.6259408158364,0.00285897785597092
63,0.0460561908271119,0.000162154186016882
64,1.42765412734979,0.00115690289587152
65,0.499643448518649,0.000669257382524896
66,0.56941507123776,0.00133673814108533
67,0.294824035417798,0.000429303617981611
68,1.81872952282389,0.000530971406726734
69,42.6603127048976,0.000583991344906921
